"C=CCC#N",0.4,67.0902,"C4H5N"
"O=[N+]([O-])c1cc(Br)c(O)c(Br)c1",3.57,296.9026,"C6H3Br2NO3"
"CCCCC(O)CC",2.24,116.2028,"C7H16O"
"N#CCCCl",0.18,89.5243,"C3H4ClN"
"CCCCCCN",2.06,101.1912,"C6H15N"
"CCCCCC=O",1.78,100.1602,"C6H12O"
"CCCCNC(N)=O",0.41,116.1626,"C5H12N2O"
"Cc1ccc(C)c(O)c1",2.33,122.1664,"C8H10O"
"Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1",1.55,248.299,"C12H12N2O2S"
"c1ccc(Nc2cccc3ccccc23)cc1",4.2,219.2854,"C16H13N"
"CCCOC(=O)c1cc(O)c(O)c(O)c1",1.8,212.2018,"C10H12O5"
"c1ccc(N2CCOCC2)cc1",1.36,163.2188,"C10H13NO"
"CC(=O)Oc1ccc([N+](=O)[O-])cc1",1.5,181.1476,"C8H7NO4"
"O=C(O)C(Cl)Cl",0.92,128.9426,"C2H2Cl2O2"
"CCOP(=O)(CC)OCC",0.66,166.1565,"C6H15O3P"
"CCOP(=O)(OCC)OCC",0.8,182.1559,"C6H15O4P"
"CC(=O)CC(C)=O",0.4,100.117,"C5H8O2"
"c1ccc(SSc2ccccc2)cc1",4.41,218.331,"C12H10S2"
"Cc1ccc(S(=O)(=O)F)cc1",2.74,174.1895,"C7H7FO2S"
"O=C(O)/C=C/C(=O)O",0.46,116.0732,"C4H4O4"
"NC(=O)NNc1ccccc1",0.13,151.1676,"C7H9N3O"
"O=C1c2ccccc2C(=O)N1c1ccccc1",2.4,223.2306,"C14H9NO2"
"NC(=O)Nc1ccccc1",0.83,136.153,"C7H8N2O"
"O=C(O)c1cc(I)ccc1O",3.34,264.0192,"C7H5IO3"
"CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1",2.8,822.9422,"C42H62O16"
"O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O",0.95,304.2556,"C15H12O7"
"O=C1C=CC(=O)C(c2ccccc2)=C1",1.95,184.194,"C12H8O2"
"Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2",0.51,290.272,"C15H14O6"
"COc1cc(/C=C/C(=O)O)ccc1O",1.51,194.1866,"C10H10O4"
"Cc1occc(=O)c1O",0.09,126.1116,"C6H6O3"
"O=C(O)C(O)(c1ccccc1)c1ccccc1",2.3,228.247,"C14H12O3"
"CCC(=O)c1ccc(O)cc1",2.03,150.1768,"C9H10O2"
"CC(CCl)OC(C)CCl",2.48,171.0662,"C6H12Cl2O"
"Cc1cc(Cl)ccc1O",2.63,142.5847,"C7H7ClO"
"OCCBr",0.23,124.9649,"C2H5BrO"
"Oc1ccccc1Cl",2.15,128.5579,"C6H5ClO"
"Oc1ccc(Cl)cc1",2.39,128.5579,"C6H5ClO"
"Cc1cccc(Cl)c1O",2.8,142.5847,"C7H7ClO"
"Oc1ccc(Cl)cc1Cl",3.06,163.003,"C6H4Cl2O"
"NC(=O)c1ccc([N+](=O)[O-])cc1",0.82,166.136,"C7H6N2O3"
"NCC(=O)O",-3.21,75.067,"C2H5NO2"
"O=C(O)COc1ccc(Cl)cc1Cl",2.81,221.0396,"C8H6Cl2O3"
"c1ccc(C2CC2)cc1",3.27,118.178,"C9H10"
"O=C(O)Cc1ccccc1",1.41,136.15,"C8H8O2"
"CNC=O",-0.97,59.0676,"C2H5NO"
"COC(N)=O",-0.66,75.067,"C2H5NO2"
"COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1",0.03,471.515,"C22H29N7O5"
"c1ccc2[nH]nnc2c1",1.44,119.1256,"C6H5N3"
"CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1",2.69,248.7145,"C12H13ClN4"
"O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl",1.14,323.1322,"C11H12Cl2N2O5"
"CC/C(=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1",5.07,268.3548,"C18H20O2"
"CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21",1.37,371.4322,"C21H25NO5"
"CC(=O)Nc1cccc(C)c1",1.68,149.192,"C9H11NO"
"O=C1NC(=O)c2ccccc21",1.15,147.133,"C8H5NO2"
"COC(=O)c1ccccc1N",1.88,151.1646,"C8H9NO2"
"COC(=O)CC#N",-0.47,99.089,"C4H5NO2"
"NC(=O)c1ccccc1",0.64,121.1384,"C7H7NO"
"NC(=O)c1ccccc1O",1.28,137.1378,"C7H7NO2"
"CCOc1ccc(N)cc1",1.24,137.181,"C8H11NO"
"O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O",0.75,211.1306,"C8H5NO6"
"COc1ccccc1N",1.18,123.1542,"C7H9NO"
"O=Nc1ccc(O)cc1",1.29,123.111,"C6H5NO2"
"O=C(O)CCCc1c[nH]c2ccccc12",2.3,203.2402,"C12H13NO2"
"O=C(Nc1ccccc1)c1ccccc1",2.62,197.236,"C13H11NO"
"CC(=O)N(c1ccccc1)c1ccccc1",2.02,211.2628,"C14H13NO"
"O=C(NO)c1ccccc1",0.26,137.1378,"C7H7NO2"
"CC(=O)N(C)C",-0.77,87.1212,"C4H9NO"
"Cc1ccc([N+](=O)[O-])c(O)c1",2.31,153.1372,"C7H7NO3"
"CC(=O)Nc1ccccc1-c1ccccc1",2.02,211.2628,"C14H13NO"
"COc1cc(-c2ccc(N)c(OC)c2)ccc1N",1.81,244.2926,"C14H16N2O2"
"CC(O)CN",-0.96,75.1102,"C3H9NO"
"OC(O)C(Cl)(Cl)Cl",0.99,165.4035,"C2H3Cl3O2"
"O=P(OCCCl)(OCCCl)OCCCl",1.44,285.4912,"C6H12Cl3O4P"
"O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr",4.29,697.6129,"C9H15Br6O4P"
"CC(=O)c1ccc(N)cc1",0.83,135.1652,"C8H9NO"
"CCOC(=O)Nc1ccccc1",2.3,165.1914,"C9H11NO2"
"CCC(N)C(=O)O",-2.54,103.1206,"C4H9NO2"
"O=C(O)CCc1c[nH]c2ccccc12",1.75,189.2134,"C11H11NO2"
"Nc1nc(N)nc(-c2ccccc2)n1",1.36,187.2036,"C9H9N5"
"NC(=S)Nc1cccc2ccccc12",1.65,202.2734,"C11H10N2S"
"CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C",2.36,330.4662,"C21H30O3"
"CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O",2.62,274.4022,"C18H26O2"
"CC(=O)Nc1ccccc1C",0.85,149.192,"C9H11NO"
"c1ccc2cnccc2c1",2.08,129.161,"C9H7N"
"c1ccc2ncccc2c1",2.03,129.161,"C9H7N"
"Cc1ccc2ccccc2n1",2.59,143.1878,"C10H9N"
